date,asset,close,open,high,low,pre_close,change,pct_chg,vol,amount
2023-07-12,000001.SH,3196.1337,3220.3758,3224.3312,3193.4366,3221.3666,-25.2329,-0.7833,271423386.0,365433182.3
2023-07-13,000001.SH,3236.48,3202.6992,3238.4675,3202.6992,3196.1337,40.3463,1.2623,276620508.0,373242517.8
2023-07-14,000001.SH,3237.7012,3240.9695,3248.3849,3233.9985,3236.48,1.2212,0.0377,273327494.0,368337829.1
2023-07-17,000001.SH,3209.6298,3219.0162,3219.0162,3195.8862,3237.7012,-28.0714,-0.867,250208376.0,322074497.1
2023-07-18,000001.SH,3197.8201,3206.786,3210.2482,3190.0049,3209.6298,-11.8097,-0.3679,235030259.0,307331649.3
2023-07-19,000001.SH,3198.8358,3195.0085,3204.3612,3181.5611,3197.8201,1.0157,0.0318,217355860.0,281206091.2
2023-07-20,000001.SH,3169.522,3201.9111,3209.0554,3165.6739,3198.8358,-29.3138,-0.9164,238932891.0,302376024.1
2023-07-21,000001.SH,3167.7452,3163.421,3185.6357,3157.3335,3169.522,-1.7768,-0.0561,225331363.0,280673190.4
2023-07-24,000001.SH,3164.1608,3157.4694,3178.7335,3151.1252,3167.7452,-3.5844,-0.1132,216595211.0,260119088.9
2023-07-25,000001.SH,3231.5213,3201.4575,3231.7486,3201.4575,3164.1608,67.3605,2.1289,348617714.0,410846601.1
2023-07-26,000001.SH,3223.0279,3228.0873,3229.8921,3212.8801,3231.5213,-8.4934,-0.2628,317206051.0,328306929.4
2023-07-27,000001.SH,3216.6709,3225.4763,3245.6028,3210.4699,3223.0279,-6.357,-0.1972,327118867.0,332145068.3
2023-07-28,000001.SH,3275.9257,3206.741,3280.2777,3200.9939,3216.6709,59.2548,1.8421,411068434.0,436923617.4
2023-07-31,000001.SH,3291.0398,3287.2089,3322.1291,3281.0133,3275.9257,15.1141,0.4614,459030994.0,511505348.4
2023-08-01,000001.SH,3290.9493,3288.7604,3305.3402,3279.5656,3291.0398,-0.0905,-0.0027,459890833.0,441023318.6
2023-08-02,000001.SH,3261.6903,3281.8583,3290.8203,3252.3036,3290.9493,-29.259,-0.8891,405341499.0,388952704.0
2023-08-03,000001.SH,3280.4626,3254.5651,3280.8636,3247.2719,3261.6903,18.7723,0.5755,384691317.0,389530672.0
2023-08-04,000001.SH,3288.0842,3296.0944,3315.0492,3281.7343,3280.4626,7.6216,0.2323,470927697.0,497188089.4
2023-08-07,000001.SH,3268.8311,3276.7756,3276.7756,3258.5372,3288.0842,-19.2531,-0.5855,360341484.0,393056934.2
2023-08-08,000001.SH,3260.6196,3260.7218,3274.5186,3246.6745,3268.8311,-8.2115,-0.2512,316520733.0,355750325.3
2023-08-09,000001.SH,3244.4867,3251.1521,3257.0816,3240.2888,3260.6196,-16.1329,-0.4948,271218538.0,309778299.6
2023-08-10,000001.SH,3254.5597,3242.2057,3257.0298,3234.1158,3244.4867,10.073,0.3105,287412142.0,307263291.7
2023-08-11,000001.SH,3189.248,3254.4751,3254.4751,3189.248,3254.5597,-65.3117,-2.0068,330137750.0,339187129.8
2023-08-14,000001.SH,3178.4272,3159.7138,3180.5067,3141.6551,3189.248,-10.8208,-0.3393,299840327.0,322632054.4
2023-08-15,000001.SH,3176.1758,3180.5579,3186.234,3147.3459,3178.4272,-2.2514,-0.0708,273251922.0,300827985.4
2023-08-16,000001.SH,3150.1277,3164.7019,3176.626,3149.7226,3176.1758,-26.0481,-0.8201,281728292.0,303611332.6
2023-08-17,000001.SH,3163.7393,3137.3514,3167.4457,3123.2495,3150.1277,13.6116,0.4321,294692586.0,320785474.1
2023-08-18,000001.SH,3131.953,3165.0998,3179.1159,3131.953,3163.7393,-31.7863,-1.0047,294390352.0,320449006.9
2023-08-21,000001.SH,3092.9777,3125.9897,3134.9571,3092.9777,3131.953,-38.9753,-1.2444,265753423.0,293721061.6
